,title,plot
195,Karnaa,"Vijay (Arjun), a carefree and frolicsome youth, is sent by his father Deenadayalan (Ravichandran) in Ooty to work and becoming a responsible businessman. There, he falls in love with the college student Anjali (Vineetha). Her brothers Devaraj (Mohan Raj) and Vimal Raj are dangerous criminals and they are against their love from the fact that Vijay's father is a police officer. Thereafter, Devaraj is sent to jail so his brother appoints the lawyer Karnaa (Arjun), who is disabled and very sensitive.
Later, Karnaa falls in love with the schoolteacher Amudha (Ranjitha), after few quarrels among them. One day, Deenadayalan sees Karnaa at the court who is identical to his son Vijay. In the past, Deenadayalan had twin boys but abandoned one of the twin babies because he was disabled. Karnaa is upset when he learns the truth and is now determined to win the case in front of his father. He ultimately wins the case and Devaraj is eventually released. Thereafter, Deenadayalan discloses the truth to his wife Lakshmi, who wants to bring back her son Karnaa at any cost.
Meanwhile, Vijay is arrested by the police because of Devaraj's conspiracy. Karnaa rejects his parents' pleas and finds it outrageous to abandon a baby due to his handicap. Then, Karnaa promises to help Vijay, but he advises Vijay to escape from the jail. In the meantime, Devaraj shows his secret illegal business to Karnaa and Vijay takes some photos of his factory. Afterwards, Devaraj's goons kidnap their parents, Karnaa's adopted mother and Amudha. Vijay and Karnaa finally save them and send Devaraj to jail."
196,Karzzzz,"Ravi Verma has just won a court case against gangster Sir Judah in Kenya, making him the legal recipient of several thousand acres of vineyards. He celebrates the victory by marrying the love of his life, Kamini, and decides to introduce her to his mother and sister. Unbeknownst to Ravi, Kamini is in cahoots with Judah; she sabotages the plane they are travelling in, and safely escapes, leaving Ravi with no parachute. He quickly falls to his death. Kamini, now Princess Kamini, inherits Ravi’s wealth, forcing his mother and sister to live in abject poverty. 
Flash forward to 25 years later, we are introduced to Monty, the adopted son of J.J. Oberoi, and a well-known musician and rock star in Cape Town, South Africa. He has everything at his disposal, but feels unhappy. He drives joy from spending time with Tina, the girl he’s romantically interested in, and Dr. Dayal, his friend, and close confidante. Monty starts getting flashbacks of events from Ravi's life, and plans to trip to Kenya to understand why. Once there, he meets Tina's caretaker Kabira appears to be happy about Tina and Monty being together.
Eventually, Monty realises that he is actually the reincarnation of Ravi. After complete recollection of events surrounding his accident, Monty sets out to find his/Ravi’s mother and sister. He befriends Princess Kamini, who incidentally knows Tina as well. She’s now Judah’s mistress, and the heiress to Ravi’s property. Monty tells her about the reincarnation, but insists he doesn’t remember how he/Ravi died. She proceeds to mislead him about the circumstances of the accident, and lies that his/Ravi’s mother and sister are deceased. Later, Monty discovers that they have been living with his/Ravi’s nephew and niece this entire time. He hatches a plan with Tina and Kabira to bring Princess Kamini to justice. 
Monty convinces Princess Kamini to marry him. He furnishes the actual papers of Ravi’s properties in an attempt to persuade her, and it works. They get married on stage at Monty’s show. During the performance, he reenacts the accident to make Princess Kamini believe that he remembers she killed him/Ravi. Following a showdown between Monty and her, she confesses, albeit in anger, to Ravi’s murder. 
Monty brings in his/Ravi’s mother and sister (accompanied by her kids) and warns Princess Kamini that they will get their dues. In the meantime, Kabira appears with the police in tow, who have her confession on record. Suddenly, Judah comes along holding Tina hostage and demands Princes Kamini’s release. A fight ensues, with Kabira tackling Judah and rescuing Tina. Princess Kamini tries to runs away, with Monty at her heels. They arrive at the same spot where Ravi was killed in his previous birth, as she boards a plane and shoots Monty. During the hullabaloo, Monty's car overturns with fuel leakage. As Princess Kamini's plane approaches him, Monty sets the car on fire that soon engulfs the plane. With Princess Kamini dead, Monty and Tina are united as the end credits roll."
197,Katham Katham,"Nandha (Nandha Durairaj) is an upright sub-inspector of police who has been transferred 15 times in three years. He is then transferred in a police station based in Pollachi. There, Police Inspector Pandian (Natarajan Subramaniam) is in the pay of Minister Periyannan (Rajagopalan), who runs in own government in the place. Nandha is shocked to note that Pandian and the entire police department are corrupt. Thereafter, Nandha tries hard to enforce the order. Soon, both policemen clash. Pandian becomes an honest policeman after Periyannan's men attempt to kill him, and he is revived with blood transfusions from the public. However, Nandha does not believe that he has truly changed. After a fellow honest sub-inspector gets killed by Periyannan's men, Nandha blames Pandian, and through short routes, becomes inspector himself. He arranges for Periyannan and his men to clash with Pandian, but in the ensuing fight, Pandian kills them all, while Nandha walks away."
198,Kattalai (film),Sathyaraj is the son of R Sunderrajan and Sumitra. His dad has no job and spends his time reading newspapers. Sathyaraj is the sole bread-winner of his family. He would try to bring down all the atrocities happening in the society. He falls in love with Bhanupriya. The rest forms the story.
199,Kavacham,"Kavacham is the story of 2 friends Raghuvaran and Captain Raju, working as private detectives. Their characters was moulded in the form of Mandrake and Lothar, Mandrake's best friend and crimefighting companion, respectively."
200,Khaan Dost,"Naive, simple-minded Ramdin Pandey lives a poor lifestyle in Nasik, India, along with his sister, Shanti, and works as a Havaldar in the Nasik Central Jail. He arranges Shanti's marriage, but the prospective groom's family want Rs.5000/- which he is unable to afford. To make matters worse, due to his simplistic job performance he has not been promoted. Then their jail gets a new inmate, the dreaded Rehmat Khan, who has been found guilty of killing Ranga for allegedly attempting to molest his prostitute mistress, Zareena. Rehmat finds out about Ramdin's weakness, befriends him and then uses him to escape on the pretext of visiting his ailing mother in Bombay, and never returns. A furious Jailor, Sharma, asks Ramdin to travel to Bombay, locate Rehmat, and then return or else he will not only lose his job, but also be prosecuted. A hapless Ramdin agrees to do so - little knowing that soon he will be at the mercy of the cunning and cruel Rehmat as well as Ranga's vengeful brother, Jaggi."
201,Khaidi (1983 film),"Veerabhadraiah is a feudal lord presiding over a village along with his henchmen, which include his assistant and the village sarpanch. Veerabhadraiah lends money to Venkateswarlu, a local farmer living with his widowed daughter. His son Suryam is a hard working student living in the nearby city and he falls in love with Veerabhadraiah's daughter – Madhulatha. Realising this, Veerabhadraiah asks Venkateswarlu to ask his son to stop seeing his daughter, to which Venkateswarlu does not agree. Veerabhadraiah kills Venkateswarlu and asks Suryam to pay the money which he had given as a loan. Suryam asks for some time and with the help of his elder sister raises crops to repay. Just as the crops are ready for harvest, Veerabhadraiah and his henchmen not only destroy the crop but also try to sexually abuse Suryam's sister, during which she commits suicide. Being the village head, Veerabhadraiah implicates Suryam in the death of his sister, saying that he was forcing her into prostitution, due to which his sister committed suicide. Suryam is arrested by the Police. The rest of the movie deals with how Suryam escapes from jail and with the help of Sujatha, a doctor, he avenges the decimation of his family."
202,Khatarnak,"Dasu (Ravi Teja) is the son of a counterfeit racketeer (Kota Srinivasa Rao). As his father goes to jail, Dasu becomes an orphan. He stops his education in the 10th class and moves like a vagabond. On the other side, there is a smuggler who used to smuggle drugs and arms into the country. But an honest police officer (Prakash Raj) hatches a plan and sends one informer (Raja Ravindra) into their underworld. He stays with them for some time and passes on information to the police, with the help of which the police were able to bust the smugglers' team, though not the kingpin. The don's assistant, who was also a lawyer advises him to play the same trick and admit one of their henchmen into the police to get information from the reverse side. However, he should not be in police records but should be crooked and cunning. The smugglers' team's search ends with Dasu. The group threatens Dasu and makes him play like a puppet in their hands. To push him inside the police department, he should at least pass the tenth class. So, they admit him to a school, where he falls in love with a teacher Nakshatra (Ileana D'Cruz). However, she doesn't like him as he neither has good education nor good looks. After a few incidents, the don's right hand i.e., the lawyer tells Dasu to study well and become a police officer to win her love. Admitting the idea, Dasu turns into a good student and gets through the exam. Later, he becomes a constable and gets posted in traffic. The smugglers' unit hatches another plan and succeeds in pushing him into the crime police. After watching Dasu as a sincere police constable, Nakshatra too starts liking him. Soon, in a turn of events, Nakshatra's brother, who was a police informer, is killed in the hands of Dasu at the behest of the don. She chides Dasu and starts hating him. Dasu starts disliking his job as he became a police officer only to win her love. As he lost her love, Dasu turns against the don and finally kills him. Nakshatra learns from the lawyer that her brother died in the hands of the don, she reunites with Dasu and the film ends on a happy note."
203,Khoon Ki Pukaar,"After the murder of his wife, and his son's kidnapping, Dr. Vidya Bhushan decides to devote the rest of his life as a Poojary, living on the premises of a princely-donated temple, hoping and praying that one day he will be reunited with his estranged son. One day a wounded bandit named Sher Singh comes to him for protection, and he not only shields the man from the police, but also tends to his wounds, and lies to the townspeople that the man's name is Amrit, When Amrit recovers, he is grateful to Vidya for looking after him, and he falls in love with a town belle by the name of Shano. What Vidya does not know that is that Amrit is really interested in the gold and jewellery hidden in a secret underground chamber below the temple; and what Amrit does not know is Shalu is seeking vengeance against Sher Singh for killing her father."
204,Khote Sikkey,"Rohit (Atul Agnihotri) and Vijay (Ayub Khan) are two criminals who obtain money from truckers by impersonating police officers. This gets them into trouble, as they are placed in prison by Inspector Ajay Sinha. But with the help of another inmate, manage to escape, with the police right on their tail. The inmate is shot and killed, but before that he gives them the contact info for underworld Don, Pukhraj Mahadevan. The duo contact Pukhraj and team up with him to rob a bank. Ajay witnesses Pukhraj in the getaway car, and immediately arrests him. However, the wily Pukhraj not only manages to win a ""not guilty"" verdict in Court, but also manages to embarrass Ajay in the eyes of his superiors and the Courts. Ajay must now must come up with a fool-proof plan to arrest Pukhraj, but before he does that he must reign in Pukhraj's newest recruits - that is if they let him."
205,Khuddar,"Shastri Suri (Shreeram Lagoo) comes from a middle-class yet honest background. He has raised his son, police inspector Siddhant Suri (Govinda) and daughter Bindiya and second son Nandu (Raju Shrestha) in a similar way. But Nandu has fallen into bad company. He is in debt and unable to repay his debt. Therefore, he decides to rob and does so at the house belonging to Pooja (Karisma Kapoor). When Pooja confronts him, he attacks her, and as a result, Pooja loses her sight. A blind Pooja subsequently weds Siddhant, not knowing that her assailant is her brother-in-law. Shastriji's employee Kanhaiyalal (Kader Khan) is greedy and ambitious. When Shastriji stands for election, he is opposed strongly by corrupt and avaricious Adarsh Vardhan (Shakti Kapoor). By hook and crook, Adarsh wins the election and decides to humiliate the Suri family. He asks that his bodyguard be none other than Siddhant Suri. Siddhant must now choose between staying with the police force and serving his corrupt master.
Siddhant chooses to serve, but only so that he can find out more about the corrupt minister and his dealings and to reveal the same to the public. Siddhant finally discloses the same to the public gathered in a rally, and the minister is forced to flee the scene. Pooja's eyes are operated upon, and her vision is restored. She identifies Nandu, and Siddhant takes revenge on his brother."
206,Kidaari,"In Sattur town, Kombaiah Pandian (Vela Ramamoorthy) is the local don and controls the entire town. Kidaari (Sasikumar) is Kombaiah’s loyal henchman who is ready to sacrifice his life for the sake of his boss. One day, Kombaiah is stabbed in his neck by someone, and the news comes as a shock to the entire town. Now, Kidaari sets stage to find the culprit behind the assault and lists out all the suspects. The movie goes into flashback mode, frequently detailing the rivalry between Kombaiah and each suspect. Finally, Kidaari finds out that Kombaiah’s brother in-law and close aide, Pulikutthi Pandian (O. A. K. Sundar), was responsible for the assault. Pulikutthi admits that Kombaiah was stabbed accidentally when Pulikutthi tried to safeguard him from Kombaiah. A flashback is shown detailing the rivalry between Kombaiah and his own son Nambi (Vasumithra).
Pulikutthi’s only daughter was married to Kombaiah’s son Nambi. Trouble erupts between Nambi and his father Kombaiah, which leads to Kombaiah killing his own son. This worries Pulikutthi as his daughter has become a widow because of Kombaiah. This was the reason for Pulikutthi’s anger over Kombaiah. Pulikutthi also discloses the truth to Kidaari about the death of his father Kottur Durai (Napoleon). Years back, Kotur Durai was a henchman to a politician named S. N. Kaalai (Hareesh Peradi), while Kombaiah was a sidekick to Kotur Durai. However, Kombaiah betrays and kills Kottur Durai and then Kaalai. He then stages a drama that Kaalai killed Kottur Durai and he had revenged by killing Kaalai, which helped him establish himself as a don in the town. Knowing this, Kidaari feels bad as Kombaiah’s affection towards him was fake. He visits him in the hospital and informs him that he had understood Kombaiah's true intentions. Kombaiah is saved but loses his speech, and Kidaari becomes the don of the town. Kidaari spares Kombaiah but has instigated a fear of death in his mind, which Kidaari thinks is a bigger punishment."
207,Kismat (2004 film),"Tony (Bobby Deol), works as a hit-man for a gangster, Vikas Patil (Ashish Vidyarthi), who owes his allegiance to wealthy Raj Mallya (Kabir Bedi). Raj Mallya has involved in marketing spurious and out-dated drugs, and as a result is the subject of an investigation by the Food & Drugs Administration's inspector Dr. Hargobind Gosai (Mohan Joshi). Raj asks Vikas to take care of Hargobind through Tony, which Tony does, and in this manner, Raj is absolved of all wrongdoing. Then Tony meets with an attractive starlet named, Sapna (Priyanka Chopra), and falls head over heels in love with her. When Sapna tells him that she is engaged to be married to Dr. Ajay Saxena, he is heart-broken. Then a scandal breaks out, and Hargobind is implicated in the deaths of three children that were killed by Raj's spurious drugs. All the evidence points against Hargobind and not a single lawyer is willing to take his case; his wife kills herself, and the marriage of his daughter has been canceled. Then Tony finds out that Hargobind is none other than Sapna's dad – and he has ruined the only chance he had for marrying the girl of his dreams."
208,Kondaveeti Donga,"An orphan Kondaveeti Raja M.A.,L.L.B.,I.A.S. (Chiranjeevi) is raised through the support of people living in the tribal village of Kondaveedu. Upon his return from Hyderabad, he witnesses the failed legal system and the village being engulfed in political corruption, forgery, smuggling, money laundering, drug trafficking, land grabbing and alcohol abuse carried out by the local mafia and landlords (Sarabhoji (Rao Gopal Rao), Narasimham (Mohan Babu) and Khaadra (Amrish Puri)), who impose taxes on farmers. Instead of being in the system and taking the direct route as an administrator himself, he transforms into a Robin Hood for the village and indulges in swashbuckling heists of money and paddy worth several crores from the landlords while being in disguise, much to the frustration of corrupt officials. He funds the tribals into self-sustaining farmers, while providing food, irrigation, healthcare, shelter and education to the poor and transforms the village."
209,Kondaveeti Simham,"The film begins with Inspector Ranjith Kumar a sheer cop who swears to protect the integrity and sovereignty of the nation. Once he intrepidly captures a brigand gang in which he is wounded. At the same time, his wife Annapurna delivers a baby boy. Since Annapurna’s father is a strong believer in astrology, he learns that the child ignites the father’s death. So, he ostracizes him with a maidservant Gauri and falsifies him as dead. After some time, Ranjith is honored with the Gold Medal nobilitating as Kondaveeti Simham and the couple is blessed with another kid Ravi. But in vain, Ravi turns into a spoiled brat in boyhood itself. So, for his welfare, Ranjith sends him to a juvenile home and maintains secrecy from Annapurna. Thereafter, Ranjith sentences a malicious hoodlum Nagaraju who pledges to destroy Ranjith’s clan. 
Years roll by, and presently, Ranjith is ennobled as SP. Ramu the elder son of Ranjith grows up in a village. Once he is acquainted with a charming girl Devi daughter of Major Gopalam the soul mate of Ranjith. Initially, they squabble then fall in love. Just after, Ramu aims to clear their debt and arrives at the city where with the help of Gopalam he starts up a business. Timeless, Ravi also backs with hostility toward his father and couple up with a girl Padma. Simultaneously, Nagaraju releases, ploys to kill Annapurna and she is rescued by Ramu when he gets closer to them. Later on, Ravi makes a huge robbery at Gopalam’s residence and indicts Ramu. However, Ranjith gazes at and seizes Ravi. Exploiting it, Nagaraju intrigues by hanging Ravi after release as avenging on Ranjith. Ravi quits the house and acts according to Nagaraju, making his parents dispirited as a payback. 
Grief-stricken Annapurna paralyzes and becomes terminally ill when Gauri reveals the birth secret of Ramu. Before dying, she takes a word from him to reform his brother. Here, Ravi avoids her funeral too which Ramu performs. Besides, Ranjith is appointed on special duty to safeguard a plan containing national secrets for which Nagaraju conspires to eliminate him. Gazing it, Ramu gamely enrolls with Nagaraju and makes Ravi figure out the fiendishness of the blackguards. But unfortunately, they are caught. Right now, Ranjith learns the actuality and flares up on Nagaraju. At last, Ranjith ceases the baddies but sacrifices his life while securing the plan. Finally, the movie is dedicated to the bravery of the cops of the nation."
210,Kovai Brothers,"Kovai Brothers tells of Ganesh (Sathyaraj) and Vasanth (Sibiraj), who are friends who come to Chennai to take revenge on the killers of Uma, who is Ganesh's niece and Vasanth's girlfriend. The duo stays with Ekadasi (Vadivelu) and then works in a TV channel that exposes corruption in the society. Sanya (Namitha) also works as an anchor in the same channel. Ganesh and Vasanth both see Sanaya and fall for her. Ganesh and Vasanth take on the bad guys and corruption besides falling for the same girl. The rest of the film is on how they kill the rowdies and who wins Sanya's love."
211,Kranti Kshetra,"Major Barkat Ali is a responsible, honest, and diligent officer in the Indian Armed Forces. He has been assigned the task of apprehending dreaded terrorist Shaitan Singh, and bringing him to justice, which he does, but not without earning the wrath of his brother, Haiwan Singh. As a result, Shaitan Singh is given the death penalty, and dies, while Barkat is assigned to a private school to teach lessons in self-defense to unruly students from wealthy families. It is here that Haiwan Singh will abduct the students and hold them as ransom in exchange for the life of Barkat Ali. Watch how Barkat Ali fights for his life, as well as for the lives of the students, who now realize how important it is to be prepared to defend the country against all - even attackers from within its borders."
212,Krishan Avtaar,"Police Inspector Krishan Kumar lives a middle class life with his lovely wife, Suman. Suman gets pregnant and gives birth to a baby girl but tragically passes away, leaving Krishan widowed, heart-broken and devastated. Krishan also encounters a tumor, which is presently inoperable, and may eventually lead to his death. Then a large number of the city's children go missing, and Krishan, together with Inspector Avtaar are assigned to investigate this matter. They are also asked to investigate the murder of fellow police inspector Vishnu Sawant. Krishan's investigation leads him to corruption in his very own department; the involvement of a prominent minister in the government; and the daughter of Inspector Sawant himself. Faced with failing health and vision, Krishan must make his move quickly before he becomes totally disabled from doing any more police work."
213,Krishna Arjun,"The film begins in a village where two beloved brothers Krishna & Arjun live along with their mother Sharda Devi and the family holds high esteem. Besides, Thakur Shamsher Singh is a tyrant, one that makes the villagers slave drivers. Krishna strives hard to civilize Arjun who studies in the city. He loves his collegian Poonam and molds enmity with Billu Singh, son of Shamsher Singh. Meanwhile, Thakur conspires with MLA Jathashankar Tripathi and a businessman Rana to squat the village for an industrial zone and forcibly acquire lands from the villagers which Krishna denies. Hence, black cats deface him by attributing him to an illicit relationship with a widow Meera. Moreover, arraigns him for her rape & murder. Sharda mortgages her land for the court expenses when Thakur deceits and captures it. The court penalizes life to Krishna which leads to his mother's death. Knowing it, Arjun decides to take vengeance but Krishna guides him to be patient and bide our time. Meanwhile, Billu tries to molest Poonam when their friend Rangeela is killed. The crime is witnessed by DIG Hidayath Ali Khan who chases Billu. However, he absconds, and Thakur withheld him. Hearing it, Arjun blazes and succeeds in breaking the bars of Krishna. Now they find seize Billu and showing endanger to him they move Thakur on their fingertips. Thus, a rift arouses between the blackguards. At last, Krishna & Arjun with the support of DIG cease the baddies, prove Krishna as guiltless, and also retrieves the land of the villagers. Finally, the movie ends by proclaiming whenever evilness erupts on the earth then Krishna & Arjun will take exist."
214,Kudrat (1998 film),"Vijay Varma learns a few lessons about love and life. Wooing his sweetheart proves an arduous task as poor Vijay faces constant rejection by the woman who has captured his heart as well as by her family. But when both do a startling volte-face, which is followed by further indecision, Vijay's life seems caught in a perpetual state of bewilderment."
215,The Kung Fu Master,"Rishi Ram and his sister Rithu Ram are martial arts instructors settled in Rishikesh. They are leading a peaceful life, but Rishi becomes the target of a notorious martial arts gang after he turns police informer. After surviving an attack from the gang of criminals, Rishi and his sister Rithu sets out to hunt down the gang."
216,Kutti Puli,"Kutti Puli is a youngster, who respects his mother Deivaani and is a part-time vigilante, who punishes crooked people, along with his friend Pappu. He meets Bharathi at a local store due to misunderstanding. Time passes by, Bharathi understands Kutti Puli's kind nature and develops a mutual respect for Kutti Puli. MMS Moorthy is a hitman, who is hired by an MP to finish an assignment, but his attempts are unknownigly thwarted by Kutti Puli. After an attack involving Moorthy's brother, Kutti Puli is stabbed to death and is taken to the hospital where Bharathi and Deivanai arrange the money for his treatment. Kutti Puli recovers and Deivanai decide to seek forgiveness from those, who were thrashed by Kutti Puli. Meanwhile, Bharathi's father learns of Bharathi and Kutti Puli's relationship and seeks Moorthy's help in dealing with Kutti Puli.
Moorthy warns Kutti Puli, but Kutti Puli thrashes Moorthy and humiliates him in front of everyone, which determines Moorthy to avenge the humiliation by killing Kutti Puli. Kutti Puli learns of Deivanai's sacrifices for his well-being, due to which Kutti Puli decide to lead a life free from violence and accepts Bharathi's love. Moorthy sends his men to attack Kutti Puli, but Kutti Puli escapes. Deivanai learns about the attack from Pappu and leaves for Moorthy's house to seek forgiveness. Kutti Puli learns that Deivaanai is in Moorthy's house from Pappu and leaves to save her. After a battle with goons, which ends with the death of Moorthy's brother. Kutti Puli reaches Moorthy's house, only to find that Deivanai had killed Moorthy, as he would not spare Kutti Puli. With no  trouble, Kutti Puli reunites with Deivanai."
217,Lakshmi (2013 film),"Lakshmi Narayan is a CBI officer, who is assigned to investigate human trafficking and embezzlement by a dreaded terrorist Khan. He leads a happy life with his dutiful and loving wife Priya. One day, Priya goes missing after she discovers that her husband has secret weapons stashed in their bedroom. Priya becomes an object of suspicion and Lakshmi learns that she has fled with a terrorist. Lakshmi searches for Priya and learns that she is in Hong Kong and find his 5-yr old daughter DashaLakshmi. ACP Prakash is in search of Lakshmi, who is responsible for kidnapping of an international dancer and murder of a rich boy (The dancer was actually a disguised terrorist Yusuf Khan and the rich boy is actually a specialist, who are working for Khan).
Prakash finds that Lakshmi is in Hong Kong and heads their to find him. He reaches Priya's house and tries to arrest him, but is attacked by Khan's associates when Lakshmi, along with his airport taxi driver Raj aka Deal Raj had went to Khan's casino to search for Priya. They escape in hidden basement where Priya has stored secret weapons and photos of the terrorist and criminals. Prakash finds Lakshmi's true identity and regrets his actions. Raj identifies one of the men and Lakshmi, along with Prakash and Raj learn that Priya is living under a fake identity as Reshma, who is now a part of Khan's terrorist organization. Khan finds that the CBI planted a mole in his gang and finds that Priya is the mole. Khan tortures Priya to extract information, but doesn't divulge.
Lakshmi barges into the basement and kills the bodyguards. Lakshmi finds Priya and attempts to kill her for the treachery, but is interrupted by his senior CBI officer, who reveals that Priya is part of the CBI's covert operation and is assigned to bust down Khan and the terrorists organizations. Realizing his mistake, Lakshmi reconciles with Priya and leaves for Khan's headquarters where he confronts Khan where he learns the latter's plan of destroying the city with nuclear bombs. Lakshmi tortures Khan's family with Prakash's help and manages to deactivate the bomb where he also cracks the code and extracts the black money, along with politician and terrorist's names involved in the scam. Lakshmi kills Khan and the politicians are arrested. Later, Lakshmi, along with Dashu and Priya leave for Bangalore and Raj is appointed as a CBI officer."
218,Lakshyam (2007 film),"The film begins with Indu a plucky naughty girl fleeing from her enforced nuptial while she is chased by a cop DIG Hari Narayan. Besides, a valiant Chandu absconds from the police prison by smashing them. The two reach the outskirts where shockingly Chandu hits Hari Narayan and the story moves rearward. A couple of months ago ACP Bose a stout-hearted cop newly deputed to the city. Here, he encounters a notorious Shankar that acts the crimes & settlements utilizing the sections in law and skips from a sentence. Therefore, he is famed as Section Shankar. Bose leads a jollity life with his parents, wife, daughter Pinky, and younger brother Chandu. Once, Indu is acquainted with Bose’s family and nears them but she is unbeknownst of Chandu. Destiny makes them collegians and their cognizance of squabbles. After a series of donnybrooks, Indu is aware of the actuality and they fall in love. 
Meanwhile, Shankar illegally harvests ₹1,000,000,000 (US$13 million) of loan from Good Luck Bank by entrapping the chairman with aid of his associate DIG Hari Narayan. However, Bose destroys his domain day by day, and as the balloon goes up the chairman pressures him to recoup the loan. As a result, the chairman is assassinated technically by Shankar's sidekick Shafi the bestie of Chandu that forges as upright. Shafi lusts for Indu for a long time and he requests Shankar for her in turn. Accordingly, Shankar forcibly takes Indu on the day of his idol's inauguration. Anyhow, Chandu safeguards her by crushing him and his idol. Later, Indu invites Chandu to her hometown for her cousin's wedding. Being conscious of it, Shankar ploy and instruct Shafi to be behind him along with his men. Whereupon, Shankar's men onslaught on Chandu and wounds him. Since he is ignorant of Shafi's diabolic shade, he asks him to get away with Indu from that place. Abstractedly, Indu moves with Shafi and he seizes her.  
Simultaneously, Bose uncovers the Chairman's death as murder, and the bank seals down when the victims crumble & revolt. Bose succeeds in catching of Manager and secretly hides him to recover every penny of depositors. Now, Shankar & DIG are under anxiety as their names may come out but incapable of detecting his whereabouts. Then, they tactically find out Bose’s location is at the general hospital via Shafi, and 3 of them land therein, backstab Bose, and slay the Manager. Fortuitously, Chandu who is recovering at the same place spots his brother at death's door and backs the knaves. Furthermore, DIG poses Bose as an outlaw before the media that has vanished with the depositors' amount by killing the manager. Bearing this in mind, the public conducts riots where Shankar's men taking Bose struck. So, they frame him in a scary toy thrown into a burning bus. Chandu perceives it, as some drops of Bose's blood falling on him and efforts to protect his brother but in vain. Bose leaves his breath in Chandu's lap letting him a locket. At the same time, his wife gives birth to a baby boy when Chandu thresholds his pain and hides Bose's expiry.   
Forthwith, Chandu discovers the locket is owned by Shafi and blows up on his home where he relieves captured Indu. After getting complete knowledge of his brother's murder, eliminates Shafi on behalf of Bose and also warns the remaining. Frightened, Shankar & DIG, confirm that bose is still alive viewing the CCTV footage on the day of the protest. The next day, Chandu with Indu hatch a plan to lure the DIG to a highway. Yet suddenly, Chandu is hauled by DIG into custody. Plus, abruptly Indu's father fixes her espousal, wherefrom, she escapes which is shown prior. Presently, a new DIG Ajay Prakash a rectitude takes charge and announces apprehend of Bose. As a result, Bose's family & people strike before the DIG office allowing them to see Bose when they notify his flight risk. In that chaos, Shankar catches hold of Bose's family and threatens Chandu to get Bose out. Thus, Chandu in tears bursts out, divulges the actuality, and is about to slaughter Shankar. Just as, Ajay Prakash arrives and Shankar strives to counterfeit him. On this, Ajay proclaims that he knows all because of his wisdom toward Bose's sincerity and seeks Chandu to finish off Shankar. At last, Chandu ceases him after winning back a total of depositors. Finally, the movie ends with all maintaining Bose alive forever to act beyond the law."
219,Lankeswarudu,"Shankar (Chiranjeevi) and Revathi are siblings and are orphans. To feed his hungry sister, Shankar steals bread from a nearby tea stall, at the same time, there is another orphan (Kalyan Chakravarthy) boy, who is also hungry and looking at them; Shankar gives him a piece of bread.  Shankar takes up the responsibility of raising his younger sister and also the orphan. Shankar does everything possible to earn bread and butter for them, and slowly he transforms from a small-time thief to a small-time gang leader. During this time, he helps a village nearby, who treats him like a god. Once he bashes up Dada's (Kaikala Satyanarayana) men, and an impressed Dada offers him work. Shankar rejects working for him, but when dada offers him partnership, then he accepts the proposal. Apart from crime, Shankar is also a good dancer and he teaches dancing too; Radha is a big fan of his. She falls in love with him  and sings a couple of quick duets. Shankar realizes that Revati is in love with Kalyan Chakravarthy and he does their wedding. Kalyan Chakravarthy becomes a police officer with the help of Shankar, in one of the crimes he gets some info regarding Dada's involvement. Kalyan Chakravarthy asks Shankar's help in eliminating Dada's group without knowing that Shankar is a partner in the same crime syndicate. Then Shankar decides to quit Dada's company and conveys the same to Dada. Dada accepts the proposal, but he says that he is not responsible if his brother-in-law dies in his hands. So Shankar drops the idea of leaving Dada's company, Dada makes him the head of the syndicate. Raghu Varan and Mohan Babu are not happy with this, so they talk another gang into eliminating Shankar and Dada. Meanwhile, Kalyan Chakravarthy and Revathi come to know that Shankar is a criminal; they question him on that front. He tries to explain what scenarios led him to this. But they leave him. Mohan Babu, Raghu Varan and their new gang attack and kill Dada and the villagers, whom Shankar helps. Angry, Shankar kills all goons and surrenders himself to his brother-in-law."
220,Lawyer Viswanath,"Vishwanath is a middle-class public prosecutor with a penchant for justice and a soft corner for the common man that endears him to the masses. But then he commits the unpardonable sin of awarding life imprisonment to Prabhu – the son of industrialist G.N.K. – and his henchman Shakka on charges of rape and murder. Not many in the city know that G.N.K. is also an underworld don involved in all sorts of criminal activities. Fuming revenge, and using every trick of the trade, he gets him implicated in a bribery case, and condemned to short-term imprisonment. Once he is released and determined to seek revenge, by taking the law into his own hands, he lets loose a war against G.N.K. by systematically attacking his business interests, helped in the process by Kacheri Kondaiah."
221,Leather Face,"A state chieftain (M. Zahur) rules over his people in a despotic manner. Samar (P. Jairaj) becomes the hero-bandit to fight the chief. He dons a leather mask, and along with the help of his dog Tiger and horse Bahadur he ventures out to set things right. He also has the help of a group of wayfarers, and Dulari (Shirin), the inn-keeper. Samar falls in love with the Chieftain's sister Ila (Mehtab). Following several action scenes, Samar is able to rid the state of its tyrannical ruler and marry Ila."
